name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id
,1211,4203400713,,,0,,,0,-92.6397333,41.289978399999995,,
,1212,4203400714,,,0,,,0,-92.6480619,41.2912662,,
,1213,4203400715,,,0,,,0,-92.6420829,41.2921779,,
,1214,4203400716,,,0,,,0,-92.6457066,41.2917224,,
,1215,4203400717,,,0,,,0,-92.63682800000001,41.2939776,,
,1216,4203400718,,,0,,,0,-92.6468841,41.2930385,,
,1217,4203400719,,,0,,,0,-92.64806429999999,41.292154700000005,,
,1218,4203410703,,,0,,,0,-92.6329983,41.2908833,,
,1219,4203410712,,,0,,,0,-92.6368015,41.2904266,,
,1220,4203410713,,,0,,,0,-92.6344568,41.2904387,,
,1221,4203410714,,,0,,,0,-92.6365951,41.2939796,,
,1223,4203410717,,,0,,,0,-92.64080870000001,41.286984000000004,,
,1224,4203410718,,,0,,,0,-92.63624109999999,41.2935344,,
,1225,4203410720,,,0,,,0,-92.6350609,41.2935414,,
,1226,4203410723,,,0,,,0,-92.63588979999999,41.2944294,,
,1227,4203410725,,,0,,,0,-92.6344734,41.2939997,,
,1228,4203410728,,,0,,,0,-92.63507170000001,41.29309979999999,,
,1229,4203410729,,,0,,,0,-92.63637790000001,41.2931006,,
,1230,4203410731,,,0,,,0,-92.6359595,41.2949348,,
,1231,4203410732,,,0,,,0,-92.6362303,41.2926459,,
,1232,4203410734,,,0,,,0,-92.6365953,41.2930985,,
,1233,4203410738,,,0,,,0,-92.6350448,41.28998789999999,,
,1234,4203410739,,,0,,,0,-92.6356439,41.2904367,,
,1235,4203410741,,,0,,,0,-92.636386,41.2939813,,
,1236,4203410744,,,0,,,0,-92.63588440000001,41.293985600000006,,
,1237,4203410746,,,0,,,0,-92.6350502,41.290878799999994,,
,1238,4203410748,,,0,,,0,-92.6356485,41.2939877,,
,1239,4203410750,,,0,,,0,-92.6350529,41.292657899999995,,
,1240,4203410751,,,0,,,0,-92.6344723,41.293105,,
,1241,4203410752,,,0,,,0,-92.6350475,41.290437700000005,,
,1242,4203410753,,,0,,,0,-92.6408735,41.2865502,,
,1243,4203410754,,,0,,,0,-92.6365952,41.293533200000006,,
,1244,4203410755,,,0,,,0,-92.63638320000001,41.2935339,,
,1245,4203608889,,,0,,,0,-92.646863,41.2893677,,
,1246,4203608893,,,0,,,0,-92.6527536,41.29577329999999,,
,1247,4203608894,,,0,,,0,-92.65275759999999,41.2953076,,
,1248,4203608896,,,0,,,0,-92.6492225,41.2908235,,
,1249,4203608897,,,0,,,0,-92.6505502,41.2962139,,
,1250,4203608903,,,0,,,0,-92.6505495,41.2957779,,
,1251,4203608904,,,0,,,0,-92.6504993,41.2898124,,
,1252,4203608905,,,0,,,0,-92.6510069,41.2957779,,
,1253,4203608909,,,0,,,0,-92.65729859999999,41.2943758,,
,1254,4203608910,,,0,,,0,-92.652755,41.2962076,,
,1255,4203608912,,,0,,,0,-92.6586237,41.294372700000004,,
,1256,4203608913,,,0,,,0,-92.658621,41.2962054,,
,1257,4203608915,,,0,,,0,-92.652239,41.290296399999995,,
,1258,4203608916,,,0,,,0,-92.6586263,41.2957573,,
,1259,4203608925,,,0,,,0,-92.6533446,41.2957779,,
,1260,4203608933,,,0,,,0,-92.6505556,41.2953071,,
,1261,4203608935,,,0,,,0,-92.6574542,41.295294,,
,1262,4203608938,,,0,,,0,-92.6492118,41.289818700000005,,
,1263,4203608939,,,0,,,0,-92.6480504,41.2908273,,
,1264,4203608943,,,0,,,0,-92.6457061,41.2908351,,
,1265,4203608944,,,0,,,0,-92.6520726,41.29152,,
,1266,4203608946,,,0,,,0,-92.6574435,41.2943756,,
,1267,4203608948,,,0,,,0,-92.6498348,41.2957739,,
,1268,4203608950,,,0,,,0,-92.64745500000001,41.2894258,,
,1269,4203608951,,,0,,,0,-92.645682,41.2898401,,
,1270,4203608954,,,0,,,0,-92.6586317,41.295293799999996,,
,1271,4203608960,,,0,,,0,-92.64687559999999,41.29083120000001,,
,1272,4203608965,,,0,,,0,-92.6468675,41.2898329,,
,1273,4203775689,,,0,,,0,-92.6545049,41.2930312,,
,1275,4203775703,,,0,,,0,-92.65223459999999,41.288760700000005,,
,1277,4203775711,,,0,,,0,-92.6545105,41.2939098,,
,1278,4203775721,,,0,,,0,-92.65511,41.29530870000001,,
,1279,4203775726,,,0,,,0,-92.65312850000001,41.291675299999994,,
,1280,4203775728,,,0,,,0,-92.6550885,41.2934675,,
,1281,4203775730,,,0,,,0,-92.6545051,41.2912619,,
,1282,4203775731,,,0,,,0,-92.6533426,41.2930372,,
,1284,4203775747,,,0,,,0,-92.6556738,41.2939199,,
,1286,4203775751,,,0,,,0,-92.6581703,41.2934655,,
,1287,4203775769,,,0,,,0,-92.65509920000001,41.29436679999999,,
,1288,4203775779,,,0,,,0,-92.6550885,41.292583799999996,,
,1289,4203775780,,,0,,,0,-92.6550939,41.293914799999996,,
,1290,4203775782,,,0,,,0,-92.658187,41.292716999999996,,
,1291,4203793085,,,0,,,0,-92.652189,41.2743641,,
,1292,4203795190,,,0,,,0,-92.651658,41.27623010000001,,
,1293,4206305304,,,0,,,0,-92.6468282,41.288038,,
,1294,4206305313,,,0,,,0,-92.64567690000001,41.2880453,,
,1295,4206305314,,,0,,,0,-92.6480083,41.2880297,,
,1296,4206305329,,,0,,,0,-92.64744509999998,41.2887889,,
,1297,4206305330,,,0,,,0,-92.64801070000001,41.2873741,,
,1299,4206305335,,,0,,,0,-92.6497916,41.2887285,,
,1300,4206305338,,,0,,,0,-92.649218,41.2880283,,
,1301,4206305341,,,0,,,0,-92.6479949,41.2887784,,
,1302,4206305343,,,0,,,0,-92.64912120000001,41.2875297,,
,1303,4206305357,,,0,,,0,-92.6492135,41.2887203,,
,1304,4206305358,,,0,,,0,-92.6486228,41.2887527,,
,1305,4206321299,,,0,,,0,-92.643775,41.28475,,
,1306,4206321300,,,0,,,0,-92.6432108,41.2824769,,
,1307,4206321308,,,0,,,0,-92.64508199999999,41.2852278,,
,1308,4206321313,,,0,,,0,-92.6450808,41.284752000000005,,
,1309,4206321317,,,0,,,0,-92.64443829999999,41.28763370000001,,
,1310,4206321332,,,0,,,0,-92.6450632,41.284294200000005,,
,1311,4206321334,,,0,,,0,-92.64520590000001,41.2870191,,
,1312,4206321341,,,0,,,0,-92.64320450000001,41.28339520000001,,
,1313,4208118324,,,0,,,0,-92.6367839,41.2873564,,
,1314,4208118325,,,0,,,0,-92.63678900000001,41.288487100000005,,
,1315,4208118327,,,0,,,0,-92.6403214,41.2885939,,
,1316,4208118328,,,0,,,0,-92.634434,41.288471,,
,1317,4208118332,,,0,,,0,-92.6350923,41.2865805,,
,1318,4208118334,,,0,,,0,-92.6367847,41.2875177,,
,1319,4208118340,,,0,,,0,-92.6344179,41.2889726,,
,1320,4208118346,,,0,,,0,-92.6357204,41.2875186,,
,1321,4208118350,,,0,,,0,-92.6344072,41.2860684,,
,1322,4208118355,,,0,,,0,-92.6357161,41.287048999999996,,
,1323,4208118362,,,0,,,0,-92.6343937,41.2870537,,
,1324,4208118368,,,0,,,0,-92.63572140000001,41.2880081,,
,1325,4208118372,,,0,,,0,-92.6403079,41.2873484,,
,1326,4208118373,,,0,,,0,-92.635102,41.288481,,
,1327,4208118376,,,0,,,0,-92.63572140000001,41.2860612,,
,1328,4208118377,,,0,,,0,-92.6344095,41.2866025,,
,1329,4208118379,,,0,,,0,-92.63440990000001,41.288014399999994,,
,1330,4208121491,,,0,,,0,-92.6332967,41.28801970000001,,
,1331,4208121500,,,0,,,0,-92.63192190000001,41.2904521,,
,1332,4208121501,,,0,,,0,-92.6332511,41.286074799999994,,
,1333,4208121512,,,0,,,0,-92.62862700000001,41.2898636,,
,1334,4208121514,,,0,,,0,-92.6304536,41.2904359,,
,1335,4208121525,,,0,,,0,-92.6312958,41.287985600000006,,
,1336,4208121526,,,0,,,0,-92.6313092,41.28715510000001,,
,1337,4208121534,,,0,,,0,-92.63191579999999,41.2884911,,
,1338,4208121538,,,0,,,0,-92.6306789,41.290454100000005,,
,1339,4208121540,,,0,,,0,-92.62992309999998,41.290599,,
,1340,4208121542,,,0,,,0,-92.6333129,41.2889748,,
,1341,4208121557,,,0,,,0,-92.6332967,41.288481,,
,1342,4208121579,,,0,,,0,-92.6313065,41.288972799999996,,
,1343,4208121580,,,0,,,0,-92.6332968,41.2870578,,
,1344,4208139706,,,0,,,0,-92.6179599,41.29528870000001,,
,1345,4208139715,,,0,,,0,-92.62098540000001,41.2854524,,
,1346,4208139716,,,0,,,0,-92.6373978,41.2887153,,
,1347,4208139724,,,0,,,0,-92.6174927,41.295466,,
,1348,4208139753,,,0,,,0,-92.62103259999999,41.2846787,,
,1349,4208139762,,,0,,,0,-92.6222997,41.287184,,
,1350,4208139765,,,0,,,0,-92.6222863,41.2877031,,
,1351,4208139775,,,0,,,0,-92.623554,41.2853941,,
,1352,4208145801,,,0,,,0,-92.6180963,41.292293900000004,,
,1353,4208145836,,,0,,,0,-92.61762420000001,41.29549,,
,1354,4208145852,,,0,,,0,-92.61658349999999,41.294290999999994,,
,1355,4208145862,,,0,,,0,-92.6223211,41.2850408,,
,1356,4208145873,,,0,,,0,-92.6232948,41.287179200000004,,
,1357,4208145876,,,0,,,0,-92.6391434,41.289539000000005,,
,1358,4208145879,,,0,,,0,-92.622289,41.2881703,,
,1359,4208145892,,,0,,,0,-92.6403397,41.289472499999995,,
,1360,4208145894,,,0,,,0,-92.61639609999999,41.2942529,,
,1361,4208145929,,,0,,,0,-92.61818829999999,41.2920402,,
,1362,4208145931,,,0,,,0,-92.62098540000001,41.2871818,,
,1363,4208145933,,,0,,,0,-92.63679,41.288720899999994,,
,1364,4208145944,,,0,,,0,-92.6216342,41.287687,,
,1365,4208145953,,,0,,,0,-92.6170797,41.2939484,,
,1366,4208170443,,,0,,,0,-92.6182603,41.284012700000005,,
,1367,4208170450,,,0,,,0,-92.6196604,41.285447600000005,,
,1368,4208170469,,,0,,,0,-92.6196427,41.2870131,,
,1369,4208170470,,,0,,,0,-92.61819559999999,41.2874008,,
,1370,4208170486,,,0,,,0,-92.6157122,41.2866237,,
,1371,4208172914,,,0,,,0,-92.6181905,41.286632399999995,,
,1372,4208172926,,,0,,,0,-92.6189832,41.28737460000001,,
,1373,4208172927,,,0,,,0,-92.6173935,41.2862076,,
,1374,4208172960,,,0,,,0,-92.61819859999999,41.28544229999999,,
,1375,4208172984,,,0,,,0,-92.61738829999999,41.2873907,,
