name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id
,167,160418813,,,0,,,0,-92.6451221,41.3016791,,
,168,160418816,,,0,,,0,-92.645246,41.3034792,,
,169,160418819,,,0,,,0,-92.645292,41.3043549,,
,170,160418822,,,0,,,0,-92.6453228,41.3049174,,
,171,160418826,,,0,,,0,-92.645415,41.3062027,,
,172,160418828,,,0,,,0,-92.6454985,41.3074163,,
,173,160418831,,,0,,,0,-92.6455174,41.3077531,,
,174,160418840,,,0,,,0,-92.6456775,41.3113402,,
,175,160418848,,,0,,,0,-92.6457312,41.3124858,,
,176,160418851,,,0,,,0,-92.6457467,41.312875,,
,177,160418853,,,0,,,0,-92.6458438,41.3169881,,
,178,160418861,,,0,,,0,-92.6458665,41.3196308,,
,179,160418875,,,0,,,0,-92.6438928,41.295321,,
,180,160418878,traffic_signals,,1,,,0,-92.6438928,41.2962368,,
,181,160418881,,,0,,,0,-92.6439061,41.2971198,,
,182,160418884,,,0,,,0,-92.6439072,41.2984947,,
,183,160418886,,,0,,,0,-92.6439167,41.3016778,,
,184,160418888,,,0,,,0,-92.6439279,41.3028609,,
,185,160418891,,,0,,,0,-92.6439376,41.3043574,,
,186,160418933,,,0,,,0,-92.6600217,41.2870789,,
,187,160418939,,,0,,,0,-92.660018,41.2880291,,
,188,160418940,,,0,,,0,-92.6600191,41.2885113,,
,189,160418941,,,0,,,0,-92.66002,41.2888196,,
,190,160418942,,,0,,,0,-92.6600256,41.292501,,
,191,160418944,,,0,,,0,-92.6600239,41.2934633,,
,192,160418947,,,0,,,0,-92.6599503,41.2939131,,
,193,160419172,,,0,,,0,-92.6455972,41.2815937,,
,194,160419174,,,0,,,0,-92.6456409,41.2824797,,
,195,160419176,,,0,,,0,-92.6456504,41.2833854,,
,196,160419178,,,0,,,0,-92.6456593,41.2842899,,
,197,160419180,,,0,,,0,-92.6456557,41.2852629,,
