shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_177169,41.303813,-92.666997,206,10037.29514792
p_177169,41.303826,-92.667007,207,10038.96423739
p_177169,41.303839,-92.667018,208,10040.67688049
p_177169,41.30385,-92.667031,209,10042.31326576
p_177169,41.303861,-92.667046,210,10044.06555611
p_177169,41.30387,-92.667061,211,10045.67090652
p_177169,41.303878,-92.667078,212,10047.34910228
p_177169,41.303883,-92.667092,213,10048.64642017
p_177169,41.303885,-92.667096,214,10049.04835998
p_177169,41.30389,-92.667115,215,10050.73367497
p_177169,41.303894,-92.667135,216,10052.46653685
p_177169,41.303897,-92.667154,217,10054.09224825
p_177169,41.303898,-92.667174,218,10055.77087736
p_177169,41.303898,-92.667195,219,10057.52957607
p_177169,41.303896,-92.667215,220,10059.21919099
p_177169,41.303892,-92.667234,221,10060.87124354
p_177169,41.303887,-92.667253,222,10062.55655848
p_177169,41.303881,-92.667272,223,10064.28165671
p_177169,41.303874,-92.667289,224,10065.90379315
p_177169,41.303865,-92.667305,225,10067.57549085
p_177169,41.303855,-92.66732,226,10069.2522441
p_177169,41.303844,-92.667334,227,10070.94550294
p_177169,41.303832,-92.667346,228,10072.61466551
p_177169,41.303819,-92.667357,229,10074.32730866
p_177169,41.303805,-92.667366,230,10076.05520492
p_177169,41.303791,-92.667373,231,10077.71688723
p_177169,41.303776,-92.667378,232,10079.4346049
p_177169,41.303763,-92.66738,233,10080.88806536
p_177169,41.303761,-92.667381,234,10081.12544856
p_177169,41.303746,-92.667382,235,10082.79344906
p_177169,41.303731,-92.667381,236,10084.46144956
p_177169,41.303716,-92.667378,237,10086.1461855
p_177169,41.303701,-92.667373,238,10087.86390326
p_177169,41.303687,-92.667366,239,10089.52558588
p_177169,41.303673,-92.667358,240,10091.21862893
p_177169,41.30366,-92.667347,241,10092.93127325
p_177169,41.303648,-92.667335,242,10094.60043749
p_177169,41.303637,-92.667321,243,10096.29369887
p_177169,41.30357,-92.66728,244,10104.48873503
p_177169,41.30352,-92.667263,245,10110.22133081
p_177169,41.303446,-92.667242,246,10118.62582645
p_177169,41.303344,-92.667217,247,10130.14578252
p_177169,41.30328,-92.667193,248,10137.53233257
p_177169,41.303234,-92.667171,249,10142.9631702
p_177169,41.30319,-92.667143,250,10148.38331527
p_177169,41.303016,-92.667008,251,10170.77213796
p_177169,41.30281,-92.666888,252,10195.76047152
p_177169,41.3026,-92.666777,253,10220.86743724
p_177169,41.302547,-92.666749,254,10227.20351589
p_177169,41.302384,-92.666672,255,10246.4205654
p_177169,41.302219,-92.666608,256,10265.51322913
p_177169,41.302052,-92.666556,257,10284.56464266
p_177169,41.301888,-92.666505,258,10303.27255694
p_177169,41.301708,-92.66646,259,10323.61546272
p_177169,41.30166,-92.666449,260,10329.0253481
p_177169,41.301549,-92.666424,261,10341.52952085
p_177169,41.29975,-92.66601,262,10544.31228653
p_177169,41.299062,-92.665881,263,10621.48143006
p_177169,41.298341,-92.665715,264,10702.7535026
p_177169,41.298024,-92.665634,265,10738.60711088
p_177169,41.297758,-92.665576,266,10768.54572273
p_177169,41.297497,-92.665526,267,10797.8332437
p_177169,41.296857,-92.665385,268,10869.88582706
p_177169,41.296585,-92.665328,269,10900.46897869
p_177169,41.296532,-92.665329,270,10906.35573572
p_177169,41.296492,-92.665336,271,10910.83664385
p_177169,41.296442,-92.665349,272,10916.49537049
p_177169,41.296401,-92.665373,273,10921.47278462
p_177169,41.296367,-92.665405,274,10926.10333706
p_177169,41.296333,-92.665445,275,10931.15138809
p_177169,41.296302,-92.665491,276,10936.31835394
p_177169,41.29628,-92.66555,277,10941.83106434
p_177169,41.296258,-92.665631,278,10949.04196444
p_177169,41.296257,-92.665794,279,10962.69486135
p_177169,41.296246,-92.667716,280,11123.68110447
p_177169,41.296233,-92.669685,281,11288.60565706
p_177169,41.29687,-92.669685,282,11359.35065051
p_177169,41.29687107089,-92.6691435497923,283,11404.70080691
p_177169,41.2970479064249,-92.6689902836535,284,11428.16335257
p_177169,41.2980472238067,-92.6689902836535,285,11539.14720486
p_177169,41.2980472238067,-92.6698441949892,286,11610.66658547
p_177169,41.2980389990323,-92.6698551425737,287,11611.9608451
p_177169,41.2980307742569,-92.6713768563626,288,11739.41534615
p_177169,41.297892,-92.671357,289,11754.9170377
p_177169,41.297779,-92.671338,290,11767.56727239
p_177169,41.297709,-92.67133,291,11775.37027065
p_177169,41.297632,-92.671327,292,11783.92555555
p_177169,41.296889,-92.671325,293,11866.44305153
p_177169,41.296836,-92.671319,294,11872.35062655
p_177169,41.296788,-92.671311,295,11877.72343523
p_177169,41.296745,-92.671297,296,11882.6408528
p_177169,41.296718,-92.671283,297,11885.8605798
p_177169,41.296788,-92.671099,298,11903.12163108
p_177169,41.296817,-92.671017,299,11910.70734992
p_177169,41.296834,-92.670959,300,11915.91922344
p_177169,41.296855,-92.670868,301,11923.88991873
p_177169,41.296862,-92.670827,302,11927.41083698
p_177169,41.29687,-92.670746,303,11934.25304852
p_177169,41.296872,-92.670643,304,11942.88283193
p_177169,41.29687,-92.669685,305,12023.12191202
p_177169,41.296233,-92.669685,306,12093.86690547
p_177169,41.296127,-92.66968,307,12105.6466736
p_177169,41.296128,-92.669312,308,12136.46963323
p_177169,41.296128,-92.668839,309,12176.08692984
