link_id,name,from_node_id,to_node_id,length,geometry,link_type_name,link_type,dir_flag,lanes,free_speed,capacity
10000026,9707,10000009,10000035,237.55388296069887,"LINESTRING (-92.65072652595501 41.302224921743004, -92.6506316 41.301808, -92.64984799999999 41.3018015, -92.6498468 41.3011183, -92.6498464 41.3007405, -92.64995833235001 41.300721178522004)",transit,99,1,1,50,100
10000027,9707,10000035,10000010,389.9531368056406,"LINESTRING (-92.64995833235001 41.300721178522004, -92.6498464 41.3007405, -92.6498496 41.300133, -92.64985379999999 41.29935029999999, -92.64984749999999 41.2989039, -92.64984140000001 41.298475599999996, -92.6498457 41.29709860000001, -92.649954917943 41.297184595771)",transit,99,1,1,50,100
10000028,9707,10000010,10000036,387.3163706437583,"LINESTRING (-92.649954917943 41.297184595771, -92.6498457 41.29709860000001, -92.65053259999999 41.297095299999995, -92.6510025 41.29709310000001, -92.65157059999999 41.2970914, -92.6527536 41.297084999999996, -92.653334 41.2970804, -92.653193978518 41.297195547707)",transit,99,1,1,50,100
10000029,9707,10000036,10000037,241.5888439627446,"LINESTRING (-92.653193978518 41.297195547707, -92.653334 41.2970804, -92.65392290000001 41.29708660000001, -92.6545234 41.297093, -92.6556877 41.2970935, -92.655545520662 41.29717978837)",transit,99,1,1,50,100
10000030,9707,10000037,10000038,293.0595272838441,"LINESTRING (-92.655545520662 41.29717978837, -92.6556877 41.2970935, -92.6562557 41.2970927, -92.6568623 41.2970863, -92.6574361 41.29709329999999, -92.6580316 41.297095899999995, -92.657916537353 41.297185619928)",transit,99,1,1,50,100
10000031,9707,10000038,10000039,253.6843023593631,"LINESTRING (-92.657916537353 41.297185619928, -92.6580316 41.297095899999995, -92.6580285 41.2975638, -92.6592012 41.2975719, -92.6591994 41.297983, -92.65919740000001 41.2984588, -92.659099235136 41.298378252527)",transit,99,1,1,50,100
10000032,9707,10000039,10000040,419.423376600803,"LINESTRING (-92.659099235136 41.298378252527, -92.65919740000001 41.2984588, -92.6592145 41.299349299999996, -92.6596848 41.299757799999995, -92.6602245 41.30032979999999, -92.660050479744 41.30033218659001)",transit,99,1,1,50,100
10000033,9707,10000040,10000011,581.9794340424035,"LINESTRING (-92.660050479744 41.30033218659001, -92.6602245 41.30032979999999, -92.6607892 41.3006313, -92.66140970000001 41.3009698, -92.66191690000001 41.3012648, -92.6625422 41.3015435, -92.6625427 41.3021976, -92.663963628685 41.302420046782)",transit,99,1,1,50,100
10000034,9707,10000011,10000041,561.9526627363825,"LINESTRING (-92.663963628685 41.302420046782, -92.6625427 41.3021976, -92.6625422 41.3015435, -92.6658892 41.3033221, -92.6663497 41.3035627, -92.66683259999999 41.3037352, -92.666784445839 41.303775032623)",transit,99,1,1,50,100
10000035,9707,10000041,10000042,456.717039367611,"LINESTRING (-92.666784445839 41.303775032623, -92.66683259999999 41.3037352, -92.666989 41.3037992, -92.6670349 41.3036374, -92.66708100000001 41.30361129999999, -92.6673215 41.303636299999994, -92.66700829999999 41.303016, -92.66677740000002 41.302600299999995, -92.66642370000001 41.301548499999996, -92.666544919128 41.301648492432)",transit,99,1,1,50,100
10000036,9707,10000042,10000012,1016.9496012754712,"LINESTRING (-92.666544919128 41.301648492432, -92.66642370000001 41.301548499999996, -92.6660101 41.2997495, -92.6656337 41.2980239, -92.6653284 41.2965852, -92.6656309 41.296258200000004, -92.66968225 41.2961803, -92.669685 41.2968697, -92.669851610855 41.298089695265006)",transit,99,1,1,50,100
10000037,9707,10000012,10000043,760.3208011818916,"LINESTRING (-92.669851610855 41.298089695265006, -92.669685 41.2968697, -92.66968225 41.2961803, -92.66931170000001 41.2961277, -92.66516999999999 41.296161299999994, -92.66292659999999 41.29619879999999, -92.66264885251101 41.296099828105)",transit,99,1,1,50,100
10000038,9707,10000043,10000013,340.40023504694227,"LINESTRING (-92.66264885251101 41.296099828105, -92.66292659999999 41.29619879999999, -92.6592177 41.296203799999994, -92.6592219 41.2957574, -92.65922309999999 41.295293900000004, -92.65930901776501 41.295199001549)",transit,99,1,1,50,100
10000039,9707,10000013,10000044,302.8765849250784,"LINESTRING (-92.65930901776501 41.295199001549, -92.65922309999999 41.295293900000004, -92.6586317 41.295293799999996, -92.65803890000001 41.2952937, -92.6574542 41.295294, -92.6568648 41.295294299999995, -92.656980801716 41.295214797391)",transit,99,1,1,50,100
10000040,9707,10000044,10000045,355.2421086599774,"LINESTRING (-92.656980801716 41.295214797391, -92.6568648 41.295294299999995, -92.6556897 41.295308899999995, -92.65511 41.29530870000001, -92.6545238 41.295308399999996, -92.65462521193199 41.295225284993)",transit,99,1,1,50,100
10000041,9707,10000045,10000046,297.19977781564234,"LINESTRING (-92.65462521193199 41.295225284993, -92.6545238 41.295308399999996, -92.6545157 41.2943685, -92.6545105 41.2939098, -92.6545054 41.2934665, -92.65463496877899 41.293580263646)",transit,99,1,1,50,100
10000042,9707,10000046,10000047,386.65423528485695,"LINESTRING (-92.65463496877899 41.293580263646, -92.6545054 41.2934665, -92.6545049 41.2930312, -92.6545043 41.2925833, -92.6545035 41.29213, -92.65450279999999 41.29170670000001, -92.65458401408002 41.291795754459)",transit,99,1,1,50,100
10000043,9707,10000047,10000048,389.1731611853903,"LINESTRING (-92.65458401408002 41.291795754459, -92.65450279999999 41.29170670000001, -92.6545051 41.2912619, -92.6545052 41.2908152, -92.6545178 41.28993370000001, -92.654626390143 41.289999780426996)",transit,99,1,1,50,100
10000044,9707,10000048,10000049,694.4698712279928,"LINESTRING (-92.654626390143 41.289999780426996, -92.6545178 41.28993370000001, -92.654514 41.2898028, -92.65451829999999 41.2889323, -92.65451829999999 41.28698660000001, -92.65459189351601 41.287137832398)",transit,99,1,1,50,100
