link_id,name,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry
4743,,1923,1932,,22.35929828643645,1,29,,service,7,"LINESTRING (-92.66140179999999 41.279481, -92.6613401 41.2794851, -92.6612463 41.2795012, -92.66113900000001 41.2795173)"
4744,,1932,1923,,22.35929828643645,1,29,,service,7,"LINESTRING (-92.66113900000001 41.2795173, -92.6612463 41.2795012, -92.6613401 41.2794851, -92.66140179999999 41.279481)"
4745,,1932,1920,,96.2865623289465,1,29,,service,7,"LINESTRING (-92.66113900000001 41.2795173, -92.6610558 41.2795254, -92.6609325 41.2795274, -92.66078760000001 41.2795234, -92.66062530000001 41.2795178, -92.6602592 41.2795012, -92.66011709999999 41.2794971, -92.6599885 41.2794971)"
4746,,1920,1932,,96.2865623289465,1,29,,service,7,"LINESTRING (-92.6599885 41.2794971, -92.66011709999999 41.2794971, -92.6602592 41.2795012, -92.66062530000001 41.2795178, -92.66078760000001 41.2795234, -92.6609325 41.2795274, -92.6610558 41.2795254, -92.66113900000001 41.2795173)"
4747,,1936,805,,13.038933645456552,1,29,,service,7,"LINESTRING (-92.6614689 41.281541, -92.66149040000001 41.2815854, -92.6615 41.2816164, -92.66150620000001 41.2816543)"
4748,,805,1936,,13.038933645456552,1,29,,service,7,"LINESTRING (-92.66150620000001 41.2816543, -92.6615 41.2816164, -92.66149040000001 41.2815854, -92.6614689 41.281541)"
4749,,1918,1923,,19.950976809405233,1,29,,service,7,"LINESTRING (-92.6616379 41.2795072, -92.6614582 41.2794851, -92.66140179999999 41.279481)"
4750,,1923,1918,,19.950976809405233,1,29,,service,7,"LINESTRING (-92.66140179999999 41.279481, -92.6614582 41.2794851, -92.6616379 41.2795072)"
4751,,1923,1927,,17.166592561686965,1,29,,service,7,"LINESTRING (-92.66140179999999 41.279481, -92.6613938 41.2794367, -92.6613965 41.2794024, -92.6614072 41.2793742, -92.66142600000001 41.279356, -92.6614501 41.2793419)"
4752,,1927,1923,,17.166592561686972,1,29,,service,7,"LINESTRING (-92.6614501 41.2793419, -92.66142600000001 41.279356, -92.6614072 41.2793742, -92.6613965 41.2794024, -92.6613938 41.2794367, -92.66140179999999 41.279481)"
4753,,1928,1925,,14.354053969206214,1,29,,track,10,"LINESTRING (-92.66137500000001 41.2804062, -92.6614099 41.2804324, -92.6614421 41.2804485, -92.66147429999999 41.2804586, -92.6615225 41.2804647)"
4754,,1934,1938,,19.78851945773632,1,29,,track,10,"LINESTRING (-92.6612999 41.2805332, -92.6613589 41.280511, -92.6614072 41.2804969, -92.6614448 41.2804909, -92.661485 41.2804889, -92.6615252 41.2804909)"
4755,,1936,1937,,57.827555613761284,1,29,,service,7,"LINESTRING (-92.6614689 41.281541, -92.66145280000001 41.2815088, -92.6614448 41.2814886, -92.6614448 41.2810694, -92.6614421 41.2810452, -92.661434 41.281025)"
4756,,1937,1929,,16.68199800013425,1,29,,service,7,"LINESTRING (-92.661434 41.281025, -92.66141519999999 41.2810109, -92.661249 41.2809746)"
4757,,1929,1936,,82.51651223551008,1,29,,service,7,"LINESTRING (-92.661249 41.2809746, -92.66121939999999 41.2809726, -92.661198 41.2809807, -92.66118729999999 41.2809988, -92.66118710000001 41.2810169, -92.6611846 41.2813657, -92.6611899 41.281408, -92.66120340000001 41.2814422, -92.66123020000001 41.2814705, -92.66127040000001 41.2815047, -92.6613133 41.2815249, -92.6613643 41.281535, -92.6614689 41.281541)"
4758,,1922,1932,,36.253696400125115,1,29,,service,7,"LINESTRING (-92.66121680000001 41.2798378, -92.66120069999999 41.2797511, -92.6611819 41.2796806, -92.6611685 41.279612, -92.66113900000001 41.2795173)"
4759,,1932,1922,,36.25369640012513,1,29,,service,7,"LINESTRING (-92.66113900000001 41.2795173, -92.6611685 41.279612, -92.6611819 41.2796806, -92.66120069999999 41.2797511, -92.66121680000001 41.2798378)"
4760,,1932,1931,,10.852692218792136,1,29,,service,7,"LINESTRING (-92.66113900000001 41.2795173, -92.66111220000001 41.2794218)"
4761,,1931,1932,,10.852692218792136,1,29,,service,7,"LINESTRING (-92.66111220000001 41.2794218, -92.66113900000001 41.2795173)"
4762,,1938,1926,,10.548225700137696,1,29,,track,10,"LINESTRING (-92.6615252 41.2804909, -92.6615601 41.2804949, -92.6616003 41.280503, -92.6616459 41.2805171)"
4763,,1923,1922,,42.937517536290066,1,29,,service,7,"LINESTRING (-92.66140179999999 41.279481, -92.6613536 41.2796221, -92.661316 41.2797027, -92.6612758 41.2797733, -92.6612463 41.2798055, -92.66121680000001 41.2798378)"
4764,,1922,1923,,42.937517536290066,1,29,,service,7,"LINESTRING (-92.66121680000001 41.2798378, -92.6612463 41.2798055, -92.6612758 41.2797733, -92.661316 41.2797027, -92.6613536 41.2796221, -92.66140179999999 41.279481)"
4765,,1934,1928,,15.792648992886162,1,29,,track,10,"LINESTRING (-92.6612999 41.2805332, -92.6613455 41.2804848, -92.6613598 41.2804647, -92.66136969999999 41.2804425, -92.66137500000001 41.2804062)"
4766,,1924,1919,,37.63191168613349,1,29,,track,10,"LINESTRING (-92.6615815 41.2808376, -92.6612624 41.2807267, -92.6612355 41.2807106, -92.6612248 41.2806924, -92.66121939999999 41.2806642)"
4767,,1930,1933,,115.40878006429938,1,29,,track,10,"LINESTRING (-92.66137500000001 41.2803719, -92.6613965 41.2803115, -92.6614501 41.2801825, -92.66147429999999 41.2801381, -92.6614984 41.2801059, -92.6615923 41.2800313, -92.6616245 41.2800051, -92.661654 41.2799789, -92.6616781 41.2799527, -92.6616969 41.2799265, -92.6617103 41.2799003, -92.6617505 41.2798076, -92.6617773 41.2797572, -92.66189799999999 41.2795556, -92.6619195 41.2795274, -92.66194900000001 41.2795072, -92.6620107 41.279473)"
4768,,1937,1935,,19.29805117275913,1,29,,track,10,"LINESTRING (-92.661434 41.281025, -92.6616647 41.281017)"
