link_id,name,from_node_id,to_node_id,length,geometry,link_type,dir_flag,lanes,free_speed,capacity
10023967,45,10000795,10000856,0.316646988,"LINESTRING (-111.9255622 33.40737603, -111.9221509 33.40737563)",transit,1,1,65,1900
10023968,45,10000856,10000909,0.214300387,"LINESTRING (-111.9221509 33.40737563, -111.9198422 33.40737603)",transit,1,1,65,1900
10023969,45,10000909,10000579,0.232178362,"LINESTRING (-111.9198422 33.40737603, -111.9173409 33.40737283)",transit,1,1,65,1900
10023970,45,10000579,10000600,0.430466566,"LINESTRING (-111.9173409 33.40737283, -111.9127034 33.40737115)",transit,1,1,65,1900
10023971,45,10000600,10000699,0.40711573,"LINESTRING (-111.9127034 33.40737115, -111.9083176 33.40734226)",transit,1,1,65,1900
10023972,45,10000699,10000679,0.412006023,"LINESTRING (-111.9083176 33.40734226, -111.903879 33.40735343)",transit,1,1,65,1900
10023973,45,10000679,10000568,0.372324556,"LINESTRING (-111.903879 33.40735343, -111.8998679 33.40736516)",transit,1,1,65,1900
10023974,45,10000568,10000774,0.233471762,"LINESTRING (-111.8998679 33.40736516, -111.8973527 33.40735384)",transit,1,1,65,1900
10023975,45,10000774,10000918,0.442408147,"LINESTRING (-111.8973527 33.40735384, -111.89258799999999 33.40725585)",transit,1,1,65,1900
10023976,45,10000918,10000557,0.338118671,"LINESTRING (-111.89258799999999 33.40725585, -111.88894669999999 33.40733756)",transit,1,1,65,1900
10023977,45,10000557,10000111,0.201823776,"LINESTRING (-111.88894669999999 33.40733756, -111.886773 33.40737972)",transit,1,1,65,1900
10023978,45,10000111,10000123,0.361920655,"LINESTRING (-111.886773 33.40737972, -111.882874 33.40739494)",transit,1,1,65,1900
10023979,45,10000123,10000129,0.423303135,"LINESTRING (-111.882874 33.40739494, -111.8783139 33.40743314)",transit,1,1,65,1900
